济南市天桥区盛泉晚晴老年公寓,天桥区梁府小区一区11号,100张,1600-2200,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,请登陆后查看
济南市槐荫区美里湖街道综合养老服务中心,山东省济南市槐荫区美里湖街道美里路555号海那城总部5号楼1-3层,60张,2000-8000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
济南民康护理院,济南市市中区十六里河街道办事处英雄山路252号,50张,3000-10000,半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
济南中海锦年福居康养中心,济南市市中区九曲庄路中海国际社区c3地块,136张,4500-12000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,请登陆后查看
济南锦泰护理院,济南市市中区段店南路124号,120张,2000-6000,半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人 ,请登陆后查看
济南金澜公寓,济南市天桥区蓝翔路57号19号楼,80张,1550-3000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,请登陆后查看
济南市天桥区恩基老年公寓,济南市天桥区北外环43号（河畔景苑对面白楼）,120张,2700-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
山东颐养苑养老服务有限公司,山东省济南市济阳县城西北洼里王村999号,600张,3000-3300,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
济南普亲养老院（失能失智老人养护专家）,济南市天桥区大桥镇马店十字路口西，鼎瑞商务大酒店旁。,120张,2500-4500,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
济南市祝甸社区老年公寓,山东省济南市历城区祝甸东方花园内,220张,2600-4800,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
九月九安养中心（大观园店）,济南市经六路三里庄19号,30张,3000-7000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复 ,可接收异地老人 ,请登陆后查看
济南市章丘区逸乐医养中心,济南市章丘区埠村街道办事处原埠村煤矿医院院内（济南植物园附近）,100张,2120-4120,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
济南圣松老年公寓,济南市市中区段店南路124号济南股骨头医院院内东侧,120张,2500-6000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
枣林历臣老年公寓,济南市历城区西营镇枣林新村,239张,2000-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
长寿山国际生态养老园,济南市历城区仲宫镇贾家村,120张,2200-5200,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,请登陆后查看
济南德慧家园养老院,济南市历城区南部山区仲宫镇锦绣川办事处东商家,200张,4000-8600,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
九月九安养中心（中山公园店）,济南市纬五路65号,40张,3900-8000,自理 半自理/半失能 不能自理/失能卧床 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
五峰山慈航老年公寓,山东·济南·长清五峰航天庄园,900张,2100-2400,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
济南市历下区华森养老院,济南市经十路6202号,100张,1200-2500,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,请登陆后查看
