怡园·时代城长者公寓,青岛市李沧区黑龙江中路568-4号,139张,4000-9000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,4006065712
青岛西海岸新区滨大颐养中心,青岛市黄岛区海崖路689号,600张,1500-6000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
青岛宏远养老健康科技有限公司,山东省青岛市莱西市扬州路36号,2880张,2000-10000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
光大汇晨青岛老年公寓,山东省青岛市崂山区青大一路17号5号楼101室,1403张,2200-5500,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
李沧区瑞康老年护养院,李沧区九水路东路518号于家下河社区居委会附近,102张,2600-3300,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
李沧区万家康老年护养院,李沧区九水东路369号毛公地社区南门李村河边,98张,2600-5000,半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛城阳璞真养老服务中,城阳区流亭街道杨埠寨社区D区居家服务中心,30张,2500-4800,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛华夏养老院,山东省青岛市市北区宣化路80号,200张,2400-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,具备医保定点资格 ,请登陆后查看
中康颐养护理院,青岛经济技术开发区香江路729号,1000张,1400-3900,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
幸福之家老年公寓,青岛市市南区红岛路31号院内（海洋大学4号门斜对面）,93张,2200-5800,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛市颐和源爱心护理院,山东省青岛市市北区错埠岭三路5号,70张,1100-3400,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛市市南区颐佳老年公寓,青岛市市南区山东路27号,500张,3900-5800,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛市崂山区航泰老年人服务中心,青岛市崂山区科苑经五路128号,100张,2400-3000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛胶南市鑫如意养老院,青岛胶南市郝家石桥金桥大街48号,50张,500-1000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛胶南恩惠养老院,青岛胶南市天一畔城玫瑰庄园,50张,1000-2600,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛市南颐和老年公寓,青岛市费县路105号,299张,2680-3800,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛市九洲福医养养老院,青岛市市北区、李沧区、城阳区均有养老院,800张,2000-4500,半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
平度市言林养老院,平度市凤台街道办事处吉州路（原台湾路）168号,699张,2000-5000,半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青岛城阳正阳养老院,青岛市城阳区艳阳路100-2号,848张,2000-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
